gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3098149898	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201516152550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Holtsjøen	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	63.11352	10.80671	5000.0		625.0	75.0			2015-06-20T00:00:00	20	6	2015	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201516152550				CC_BY_4_0					2022-09-08T13:52:00.702Z		
3098149890	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201820742550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Rolvsøy	Troms og Finnmark	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	71.00619	24.07115	5000.0		75.0	75.0			2018-06-19T00:00:00	19	6	2018	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201820742550				CC_BY_4_0					2022-09-08T13:52:00.697Z		
3098149785	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201616272550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Vingan	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	63.49543	9.23303	5000.0		150.0	150.0			2016-06-05T00:00:00	5	6	2016	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201616272550				CC_BY_4_0					2022-09-08T13:52:00.653Z		
3098149763	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201116272580	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus marinus		SPECIES	Larus marinus Linnaeus, 1758	Larus marinus		NO	Vingan	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	63.49543	9.23303	5000.0		150.0	150.0			2011-05-22T00:00:00	22	5	2011	2481172	2481172	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201116272580				CC_BY_4_0					2022-09-08T13:52:00.644Z		
3098149725	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201116272560	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus argentatus		SPECIES	Larus argentatus Pontoppidan, 1763	Larus argentatus		NO	Vingan	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	63.49543	9.23303	5000.0		150.0	150.0			2011-05-22T00:00:00	22	5	2011	2481139	2481139	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201116272560				CC_BY_4_0					2022-09-08T13:52:00.640Z		
3098149676	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201308012560	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus argentatus		SPECIES	Larus argentatus Pontoppidan, 1763	Larus argentatus		NO	Levangsheia	Vestfold og Telemark	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	58.83009	9.45001	5000.0		40.0	20.0			2013-06-02T00:00:00	2	6	2013	2481139	2481139	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201308012560				CC_BY_4_0					2022-09-08T13:52:00.626Z		
3098149618	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201719352550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Elvedalen	Troms og Finnmark	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	69.81736	22.11605	5000.0		280.0	240.0			2017-06-14T00:00:00	14	6	2017	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201719352550				CC_BY_4_0					2022-09-08T13:52:00.614Z		
3098149563	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201116272550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Vingan	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	63.49543	9.23303	5000.0		150.0	150.0			2011-05-22T00:00:00	22	5	2011	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201116272550				CC_BY_4_0					2022-09-08T13:52:00.605Z		
3098149541	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201404332550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Steiti	Innlandet	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	62.07721	9.87135	5000.0		1075.0	55.0			2014-06-19T00:00:00	19	6	2014	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201404332550				CC_BY_4_0					2022-09-08T13:52:00.570Z		
3098149531	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201404092550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Øverby	Innlandet	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	60.79542	11.10741	5000.0		155.0	25.0			2014-05-24T00:00:00	24	5	2014	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201404092550				CC_BY_4_0					2022-09-08T13:52:00.602Z		
