"","mean","sd","quant0.025","quant0.25","quant0.5","quant0.75","quant0.975","parameter","model"
"betaNibc01.3","0.405914516040581","0.0316323244882525","0.3438367159993","0.384505244834154","0.405848575673563","0.427191906512972","0.467860435347825","betaNibc01","USEDetect"
"betaNibc02.3","0.27747608715013","0.0581936043489608","0.163272310067679","0.238089710140463","0.277354777455349","0.316619844770234","0.391437244843019","betaNibc02","USEDetect"
"betaPo01.3","-0.475629089165406","0.00850316766491349","-0.492316384536825","-0.48138417120876","-0.475646814767483","-0.469909458326206","-0.45897724499814","betaPo01","USEDetect"
"betaPo02.3","-0.506835925359097","0.00890688646761417","-0.524315510753853","-0.512864250848135","-0.506854492548583","-0.500844734249032","-0.489393474343314","betaPo02","USEDetect"
"betaPA01.6","-0.358001260076182","0.0774552424785483","-0.510005614246165","-0.410424226753786","-0.358162722352482","-0.305901217951178","-0.206319830458799","betaPA01","USEDetect"
"betaPA01.7","-0.358001260076182","0.0774552424785483","-0.510005614246165","-0.410424226753786","-0.358162722352482","-0.305901217951178","-0.206319830458799","betaPA01","USEDetect"
"elev1.3","-1.14202295302398","0.0223218418568606","-1.1858291183236","-1.1571307382997","-1.14206948486975","-1.1270082314398","-1.09830985141591","elev1","USEDetect"
"elev2.3","-0.995349315282782","0.0211698057628871","-1.03689463293876","-1.0096773838107","-0.99539344560783","-0.981109507404959","-0.953892258276901","elev2","USEDetect"
"prec1.3","-3.54966039158602","0.0773555790131495","-3.70146915821143","-3.60201590441082","-3.54982164610505","-3.49762738779928","-3.39817413399867","prec1","USEDetect"
"prec2.3","-4.01041593399954","0.0816819687085081","-4.17071515331072","-4.06569961766954","-4.01058620725901","-3.95547279684849","-3.85045726120731","prec2","USEDetect"
"distwb1.3","-4.64585488705143","0.221442550702724","-5.08043143510941","-4.795730803581","-4.64631650355616","-4.49690220353132","-4.2122015720029","distwb1","USEDetect"
"distwb2.3","-5.37099968741477","0.236478434685053","-5.83508385511184","-5.53105213454126","-5.37149264754424","-5.21193316054722","-4.90790143997664","distwb2","USEDetect"
"dist1.3","-2.96279853589756","0.300028109177334","-3.55159766051425","-3.16586243533734","-2.96342397092186","-2.76098550650637","-2.37525028132947","dist1","USEDetect"
"dist2.3","-2.93115055271218","0.299835946245575","-3.51957256144357","-3.1340843931573","-2.93177558715592","-2.72946678115455","-2.34397861286828","dist2","USEDetect"
"timeSpent1.3","-0.301373745515975","0.286690558666072","-0.863998195742661","-0.495410574048239","-0.301971377241273","-0.108532180434308","0.260055441260114","timeSpent1","USEDetect"
"timeSpent2.3","0.325119642298972","0.201573153245999","-0.0704636132263202","0.188691656825412","0.324699445303616","0.460707233781821","0.719862503833553","timeSpent2","USEDetect"
"rho11.3","15.9339896042176","0.571729962092704","15.0295541905901","15.5112436368115","15.8550860606211","16.2825201395653","17.2285427702128","rho11","USEDetect"
"rho12.3","15.9339896042176","0.571729962092704","15.0295541905901","15.5112436368115","15.8550860606211","16.2825201395653","17.2285427702128","rho12","USEDetect"
"sd11.3","1.52339374186749","0.000265138203138104","1.52287347766808","1.52321427954489","1.52339316349472","1.52357206837524","1.52391302626731","sd11","USEDetect"
"sd12.3","1.57096741943425","0.000273428367543631","1.5704308879719","1.57078234579964","1.57096682297117","1.571151321735","1.57150294049064","sd12","USEDetect"
"betaNibc01.4","0.405914516040581","0.0316323244882525","0.3438367159993","0.384505244834154","0.405848575673563","0.427191906512972","0.467860435347825","betaNibc01","USEDetMis"
"betaNibc02.4","0.27747608715013","0.0581936043489608","0.163272310067679","0.238089710140463","0.277354777455349","0.316619844770234","0.391437244843019","betaNibc02","USEDetMis"
"betaPo01.4","-0.475629089165406","0.00850316766491349","-0.492316384536825","-0.48138417120876","-0.475646814767483","-0.469909458326206","-0.45897724499814","betaPo01","USEDetMis"
"betaPo02.4","-0.506835925359097","0.00890688646761417","-0.524315510753853","-0.512864250848135","-0.506854492548583","-0.500844734249032","-0.489393474343314","betaPo02","USEDetMis"
"betaPA01.8","-0.358001260076182","0.0774552424785483","-0.510005614246165","-0.410424226753786","-0.358162722352482","-0.305901217951178","-0.206319830458799","betaPA01","USEDetMis"
"betaPA01.9","-0.358001260076182","0.0774552424785483","-0.510005614246165","-0.410424226753786","-0.358162722352482","-0.305901217951178","-0.206319830458799","betaPA01","USEDetMis"
"elev1.4","-1.14202295302398","0.0223218418568606","-1.1858291183236","-1.1571307382997","-1.14206948486975","-1.1270082314398","-1.09830985141591","elev1","USEDetMis"
"elev2.4","-0.995349315282782","0.0211698057628871","-1.03689463293876","-1.0096773838107","-0.99539344560783","-0.981109507404959","-0.953892258276901","elev2","USEDetMis"
"prec1.4","-3.54966039158602","0.0773555790131495","-3.70146915821143","-3.60201590441082","-3.54982164610505","-3.49762738779928","-3.39817413399867","prec1","USEDetMis"
"prec2.4","-4.01041593399954","0.0816819687085081","-4.17071515331072","-4.06569961766954","-4.01058620725901","-3.95547279684849","-3.85045726120731","prec2","USEDetMis"
"distwb1.4","-4.64585488705143","0.221442550702724","-5.08043143510941","-4.795730803581","-4.64631650355616","-4.49690220353132","-4.2122015720029","distwb1","USEDetMis"
"distwb2.4","-5.37099968741477","0.236478434685053","-5.83508385511184","-5.53105213454126","-5.37149264754424","-5.21193316054722","-4.90790143997664","distwb2","USEDetMis"
"dist1.4","-2.96279853589756","0.300028109177334","-3.55159766051425","-3.16586243533734","-2.96342397092186","-2.76098550650637","-2.37525028132947","dist1","USEDetMis"
"dist2.4","-2.93115055271218","0.299835946245575","-3.51957256144357","-3.1340843931573","-2.93177558715592","-2.72946678115455","-2.34397861286828","dist2","USEDetMis"
"timeSpent1.4","-0.301373745515975","0.286690558666072","-0.863998195742661","-0.495410574048239","-0.301971377241273","-0.108532180434308","0.260055441260114","timeSpent1","USEDetMis"
"timeSpent2.4","0.325119642298972","0.201573153245999","-0.0704636132263202","0.188691656825412","0.324699445303616","0.460707233781821","0.719862503833553","timeSpent2","USEDetMis"
"rho11.4","15.9339896042176","0.571729962092704","15.0295541905901","15.5112436368115","15.8550860606211","16.2825201395653","17.2285427702128","rho11","USEDetMis"
"rho12.4","15.9339896042176","0.571729962092704","15.0295541905901","15.5112436368115","15.8550860606211","16.2825201395653","17.2285427702128","rho12","USEDetMis"
"sd11.4","1.52339374186749","0.000265138203138104","1.52287347766808","1.52321427954489","1.52339316349472","1.52357206837524","1.52391302626731","sd11","USEDetMis"
"sd12.4","1.57096741943425","0.000273428367543631","1.5704308879719","1.57078234579964","1.57096682297117","1.571151321735","1.57150294049064","sd12","USEDetMis"
