"model","metric","species","Parameter","metricEst","value"
"VSE","Bias",2,"alpha1","sd",11001.5981165951
"VSE","Bias",2,"beta0","sd",0.80035307891305
"VSE","Bias",2,"beta1","sd",0.629076390821143
"VSE","Bias",2,"ecoRange","sd",10.8280741626252
"VSE","Bias",2,"ecoSD","sd",0.178600654553923
"VSE","Bias",2,"gamma0","sd",NA
"VSE","Bias",2,"gamma1","sd",NA
"VSE","Bias",2,"rangeW2","sd",13.7982964649777
"VSE","Bias",2,"stdW2","sd",473.33456620907
"VSE","RMSE",1,"alpha0","sd",72.7527462553589
"VSE","RMSE",1,"alpha1","sd",9253.06840542218
"VSE","RMSE",1,"beta0","sd",0.543575476391922
"VSE","RMSE",1,"beta1","sd",0.218356798048148
"VSE","RMSE",1,"ecoRange","sd",11.7499520326818
"VSE","RMSE",1,"ecoSD","sd",0.157069784599447
"VSE","RMSE",1,"gamma0","sd",NA
"VSE","RMSE",1,"gamma1","sd",NA
"VSE","RMSE",1,"rangeW2","sd",13.7982964649777
"VSE","RMSE",1,"stdW2","sd",473.057813713286
"VSE","RMSE",2,"alpha0","sd",72.7527462553589
"VSE","RMSE",2,"alpha1","sd",9253.06840542218
"VSE","RMSE",2,"beta0","sd",0.580645823708005
"VSE","RMSE",2,"beta1","sd",0.337478037779636
"VSE","RMSE",2,"ecoRange","sd",10.8280741626252
"VSE","RMSE",2,"ecoSD","sd",0.178600654553923
"VSE","RMSE",2,"gamma0","sd",NA
"VSE","RMSE",2,"gamma1","sd",NA
"VSE","RMSE",2,"rangeW2","sd",13.7982964649777
"VSE","RMSE",2,"stdW2","sd",473.057813713286
"VSEDetect","Bias",1,"alpha0","sd",1.00097253211317
"VSEDetect","Bias",1,"alpha1","sd",1.12066475764706
"VSEDetect","Bias",1,"beta0","sd",0.564109056103431
"VSEDetect","Bias",1,"beta1","sd",0.32135492294032
"VSEDetect","Bias",1,"ecoRange","sd",3.45150936322665
"VSEDetect","Bias",1,"ecoSD","sd",100.979430660932
"VSEDetect","Bias",1,"gamma0","sd",0.0459145637466249
"VSEDetect","Bias",1,"gamma1","sd",383.324059599163
"VSEDetect","Bias",1,"rangeW2","sd",3.75502990103648
"VSEDetect","Bias",1,"stdW2","sd",0.220641544871306
"VSEDetect","Bias",2,"alpha0","sd",1.00097253211317
"VSEDetect","Bias",2,"alpha1","sd",1.12066475764706
"VSEDetect","Bias",2,"beta0","sd",0.822406917378689
"VSEDetect","Bias",2,"beta1","sd",0.639434162094051
"VSEDetect","Bias",2,"ecoRange","sd",87.1181262688613
"VSEDetect","Bias",2,"ecoSD","sd",0.0618932939788433
"VSEDetect","Bias",2,"gamma0","sd",0.255005263861295
"VSEDetect","Bias",2,"gamma1","sd",34.7210102236467
"VSEDetect","Bias",2,"rangeW2","sd",3.75502990103648
"VSEDetect","Bias",2,"stdW2","sd",0.220641544871306
"VSEDetect","RMSE",1,"alpha0","sd",1.0622379485304
"VSEDetect","RMSE",1,"alpha1","sd",1.29428164080698
"VSEDetect","RMSE",1,"beta0","sd",6.59186510063914
"VSEDetect","RMSE",1,"beta1","sd",5.77689957675677
"VSEDetect","RMSE",1,"ecoRange","sd",2.18489242044894
"VSEDetect","RMSE",1,"ecoSD","sd",100.596941728107
"VSEDetect","RMSE",1,"gamma0","sd",0.0198480452201711
"VSEDetect","RMSE",1,"gamma1","sd",383.125892855856
"VSEDetect","RMSE",1,"rangeW2","sd",0.640766058025583
"VSEDetect","RMSE",1,"stdW2","sd",0.220641544871307
"VSEDetect","RMSE",2,"alpha0","sd",1.0622379485304
"VSEDetect","RMSE",2,"alpha1","sd",1.29428164080698
"VSEDetect","RMSE",2,"beta0","sd",0.77824390064348
"VSEDetect","RMSE",2,"beta1","sd",0.595745142060594
"VSEDetect","RMSE",2,"ecoRange","sd",83.449272409593
"VSEDetect","RMSE",2,"ecoSD","sd",0.0618932939788433
"VSEDetect","RMSE",2,"gamma0","sd",0.238837792451436
